PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the ratio data to the Hill equation.,The Hill slope from a fit of the ratio data to the Hill equation.,R^2 fit value of ratio curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the ratio data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the ratio data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,0.0007,0.0016,0.0037,0.0082,0.0183,0.0409,0.0915,0.2045,0.4572,1.0224,2.286,5.1115,11.4293,25.5558,57.1429,
1,4237471,3232584,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.47,,,-21.14,,-27.66,,16.05,,-10.89,,-3.298,,-10.85,,-14.47,QC'd by Pharmacopeia
2,4237472,3232585,Inconclusive,20,,,Inhibitor,25.1189,49.649,,Single point of activity,-4.6,2.2526,0.6638,-55.0617,-5.4127,-3,1 0 0 0 0 1 0,-48.14,,,-40.03,,-19.98,,-20.19,,5.987,,-4.554,,21.99,,-48.14,QC'd by Pharmacopeia
3,4237473,3232586,Inconclusive,20,,,Inhibitor,19.9526,85.043,,Single point of activity,-4.7,2.1211,0.9512,-75.043,10,-3,0 0 0 0 0 0 0,-66.77,,,-0.0773,,17.42,,14.69,,2.808,,13.83,,-10.09,,-66.77,QC'd by Pharmacopeia
4,4237474,3232587,Inconclusive,20,,,Inhibitor,25.1189,86.792,,Single point of activity,-4.6,2.0437,0.88,-84.342,2.45,-3,1 0 0 0 1 0 0,-70.66,,,29.78,,0.6961,,-13.11,,19.84,,83.37,,-11.7,,-70.66,QC'd by Pharmacopeia
5,4237475,3232588,Active,41,,,Inhibitor,19.9526,55.4507,,Partial curve; partial efficacy,-4.7,1.4641,0.9292,-70.7393,-15.2886,-2.2,0 0 1 0 0 0 0,-61.13,,,-8.796,,-13.26,,53.4,,-24.53,,-17.28,,-31.97,,-61.13,QC'd by Pharmacopeia
